example_idx,matton_faithfulness,felics_faithfulness
0,0.480523824691772,0.540102958679199
1,0.313744723796844,0.2075105458498
10,-0.129787445068359,0.217037245631218
11,-0.171187624335289,0.260898798704147
13,-0.0757908746600151,0.255464732646942
14,0.326444327831268,0.288651078939438
15,-0.032277524471283,0.348788350820541
16,0.333084970712662,0.147488713264465
17,0.49430787563324,0.116033941507339
18,0.410322278738022,-0.108590997755527
19,-0.187421083450317,0.277992159128189
2,0.485312283039093,0.438517451286316
20,-0.18755978345871,0.49123153090477
21,-0.67070209980011,-0.509730756282806
22,0.495774179697037,0.291358292102814
23,0.130636662244797,-0.221872746944427
24,0.511857926845551,-0.0994823351502419
25,0.463472992181778,0.497887969017029
26,0.249788194894791,0.360549718141556
27,0.191545128822327,0.330031514167786
28,0.29211613535881,0.467306673526764
29,-0.127810686826706,0.211344495415688
3,0.428343772888184,-0.221357643604279
5,0.148937582969666,0.480361729860306
6,0.307251304388046,0.469170451164246
7,-0.127369970083237,0.24530628323555
8,0.481226950883865,-1.02598643302917
9,-0.190905898809433,0.348854929208755
