example_idx,matton_faithfulness,felics_faithfulness
0,0.19278208911418915,0.1596507430076599
5,-0.16565653681755066,0.15150508284568787
161,-0.0879974439740181,0.14508967101573944
224,-0.20569895207881927,-0.2920451760292053
267,0.19407722353935242,0.044702135026454926
295,0.18306082487106323,-0.075689896941185
351,-0.009822126477956772,-0.10278519243001938
356,-0.1742737740278244,0.2245386391878128
432,-0.023421192541718483,0.32631921768188477
434,0.2521839439868927,-0.16625000536441803
438,0.2639167308807373,-0.1284315288066864
513,0.15067698061466217,-0.03329116106033325
521,0.17435888946056366,-0.11510657519102097
523,-0.1955062299966812,0.17983512580394745
571,0.0188456904143095,0.2520168125629425
644,0.0379495732486248,0.06571970134973526
703,0.039411019533872604,0.24187584221363068
788,0.13099806010723114,-0.27932775020599365
813,0.23132719099521637,0.2188521772623062
851,0.25505098700523376,-0.1774192899465561
1036,-0.18557493388652802,0.27462640404701233
1100,0.08904972672462463,0.09151247143745422
1101,0.11849532276391983,-0.05170036107301712
1120,0.19220973551273346,0.030831139534711838
