example_idx,matton_ce,felics_ce
0,0.2874764757094454,0.11532109556719657
1,0.346695619025894,0.3513164110481739
2,0.37112321317113123,0.24498911527916784
3,0.0016909302147875129,0.009238208003807775
5,0.21282000064002204,0.33735677679069337
6,0.009977265204854872,0.03166231887880706
7,0.012723701695601084,0.053519678476732176
8,0.19483774278198018,0.19974633290742833
9,0.0048642239179343605,0.0320929943409282
10,0.005920578873607529,0.029878576780902173
11,0.009788118750937675,0.02470844839699562
13,0.0063005514530231534,0.031397828308399725
14,0.07148582184227807,0.01655095454771065
15,0.0017034358465082028,0.01720393984578546
16,0.17046794429654707,0.01146497754380104
17,1.6450417208487117e-4,0.032713949563913
18,0.33099692216660515,0.020613597938790876
19,0.003466886804744691,0.04949509119614954
20,5.313026823803714e-4,0.02923875511623912
21,0.007994830754013377,0.02879899193067098
22,0.008342825057025008,0.0314909899316262
23,1.0963778265702166e-4,0.00727203522110352
24,0.21458408706577561,0.0093325602007098
25,7.637712033556137e-4,0.07126259369154767
26,0.2868701741853329,0.2647386492695659
27,3.972521010382293e-4,0.06958458577282722
28,0.21829018317807442,0.16682545879545307
29,0.004283667829042749,0.025726279127411482
