example_idx,matton_faithfulness,felics_faithfulness
0,0.480267971754074,0.469849437475204
1,0.535218715667725,0.209874525666237
10,0.46021980047226,0.363148272037506
11,0.254325777292252,0.253544598817825
12,0.0887952744960785,-0.152605965733528
13,0.321115791797638,0.387799143791199
14,-0.271856069564819,0.16681495308876
15,0.48905673623085,0.255490452051163
16,0.466880649328232,0.402939170598984
17,0.256411075592041,0.329377889633179
18,0.221024468541145,0.362456381320953
19,0.00163925555534661,0.190169990062714
2,0.295067995786667,0.14940781891346
20,0.478694319725037,0.444474935531616
21,0.493094921112061,0.215142875909805
22,-0.0928846821188927,-0.171999141573906
23,0.280867755413055,0.405953735113144
24,0.486634790897369,-0.235577374696732
25,0.158963397145271,0.267384618520737
26,0.452362209558487,0.19207002222538
27,0.254760175943375,-0.111337423324585
28,0.48992270231247,0.506717085838318
29,0.425442427396774,-0.226963371038437
3,-0.103184953331947,0.0477434284985065
4,0.274844706058502,0.42889466881752
5,0.260607123374939,-0.0114837614819407
6,0.510267436504364,0.516853511333466
7,0.463109880685806,-0.232433587312698
8,-0.0592850334942341,0.375513643026352
9,-0.0904503241181374,0.0828173086047173
