example_idx,matton_ce,felics_ce
0,0.011445818913423146,0.010655993070031355
5,0.022411166143137908,0.008670660681673287
161,0.2012650447611052,0.011829408355980436
224,0.016594046830303088,0.009764905331697531
267,0.04128553194944587,0.016454621596494648
295,0.027070096462072448,0.006274412154246051
351,0.0244257363180319,0.005941619192526525
356,0.0205975035205483,0.02599837812595063
432,0.027240917144808877,0.007073083808625735
434,0.05794202602867565,0.12945169777063148
438,0.05130482282256702,0.007125508950204111
513,0.07549481176667737,0.03494419268099587
521,0.21212361077778039,0.05946654404285181
523,0.021476219694774847,0.0098284726970762
571,0.03719883807263189,0.016132741845715542
644,0.05300147014349928,0.04718826139485988
703,0.026507981425807337,0.02034077316056935
788,0.029574733169283673,0.0029485022920804245
813,0.03077909462153907,0.019212579304621575
851,0.022364059427571956,0.012008071056334267
1036,0.02502914362994484,0.02327612110093465
1100,0.027601831301581062,0.013629285078786739
1101,0.0150019975379109,0.0010686253159431817
1120,0.02092330000596116,0.014779059948653245
