example_idx,matton_ce,felics_ce
0,0.454866613028571,0.09308743625879284
1,0.6947802298236637,0.20527495734859255
2,0.37916849975590594,0.28767532110214233
3,0.03100077438284637,0.0535754412412643
4,0.040482478827470844,0.0762213743291795
5,0.03850297529716038,0.02695074472576374
6,0.28695843992172737,0.11364641003310678
7,0.0606221200432628,0.038613251852802885
8,0.024253449705429343,0.12465480901300904
9,0.00732513380353335,0.0426630682777613
10,0.03475464371149425,0.053487733379006336
11,0.03210872465278948,0.06666607335209844
12,0.07849535069544795,0.2911752173677086
13,0.0246086401166394,0.1290312975645065
14,0.0106542346620699,0.04919796157628292
15,0.03042965624481436,0.06648349678143856
16,0.3016811291221529,0.16245423406362533
17,0.031436159420991275,0.05647628614678975
18,0.022983588906936296,0.0782669428735971
19,0.046845462010242,0.09642262607812876
20,0.029618770186789278,0.05061040297150608
21,0.0321644378418568,0.03863310876186
22,0.034288965514861,0.03685554000549012
23,0.012296681641600974,0.1281812876462936
24,0.03701764380093662,0.07202601432800286
25,0.025471110624493996,0.1316013960167765
26,0.7535184609005225,0.32143147736787797
27,0.27871028967201705,0.05768413445912295
28,0.25510343821952114,0.20484698687990505
29,0.01497329189442094,0.025764999911189024
