example_idx,matton_faithfulness,felics_faithfulness
0,0.15094415843486786,-0.06187622249126434
5,-0.10611990839242935,0.06449759006500244
9,-0.07209561765193939,-0.034428369253873825
161,0.19565342366695404,0.15427368879318237
224,-0.02151067927479744,-0.13608412444591522
263,-0.007899608463048935,-0.10861600190401077
267,0.026934662833809853,0.09025486558675766
295,-0.10004039108753204,0.04314250499010086
351,0.19512340426445007,0.0432937853038311
356,0.14445258677005768,0.24656061828136444
391,0.404804527759552,-0.30928969383239746
432,0.3223964273929596,-0.07089895755052567
434,-0.10672249644994736,0.0341225303709507
438,0.06011423096060753,0.058895573019981384
513,-0.01330470945686102,0.06533453613519669
521,-0.11203830689191818,0.26123711466789246
523,-0.07064618170261383,-0.05814255774021149
571,-0.1066800132393837,0.10818894952535629
644,0.04198911413550377,0.2207762897014618
703,-0.005861792713403702,0.0784163847565651
704,-0.12924274802207947,0.0045538246631622314
788,0.25900349020957947,0.23565389215946198
793,0.4000881314277649,0.011693676933646202
813,0.08116520941257477,0.1763356775045395
851,0.21667087078094482,-0.2033771425485611
1036,-0.3096221387386322,-0.11519121378660202
1100,0.11459629237651825,0.22843427956104279
1101,0.023224130272865295,0.2649933099746704
1120,-0.2514754831790924,-0.1797066032886505
