example_idx,matton_ce,felics_ce
0,0.014032961250953591,0.01036434693281378
5,0.003740796095891151,0.007362488295863493
9,0.006236146426420936,0.0039923454554809164
161,0.004506357160126335,0.014707331676618151
224,0.05928763166100124,0.005798465542708641
263,0.008279867623899033,0.004529371605713054
267,0.003059832294790446,0.01824565612892348
295,0.00493732457671282,0.012071698034914192
351,0.0017949425526921409,0.0075025419471784795
356,0.006047771370877554,0.019846495151536362
391,0.0022608740103350735,0.0107629986854994
432,0.10164422047047687,0.030633196215993405
434,0.004931453763775652,0.020514905832533233
438,0.0020755303110210534,0.011948601626499966
513,9.170340910107405e-4,0.004536065501724754
521,0.003770472402472682,0.0073950708413879586
523,8.083163536086667e-4,0.07034012952741851
571,8.913889918510145e-4,0.012884646548021262
644,0.006972755929669551,0.008960357933069105
703,0.0338239741481326,0.011677594415050358
704,0.0020138450924026253,0.016086714003690456
788,0.0624837557896591,0.008369588113722138
793,0.00614084015833208,0.005605824013764468
813,0.005704907423682882,0.006983020793168968
851,0.003044637194112214,0.012271847710265587
1036,0.004630699462722933,0.003933623737692729
1100,0.009773236922972618,0.0055167680204083564
1101,0.006026943438113262,0.011656252698490487
1120,0.002790830515398997,0.0077224761838666
