example_idx,atomic_faithfulness,interaction_faithfulness
0,-0.11534441262483597,-0.11972115188837051
5,0.04719419404864311,-0.05750531703233719
9,-0.09115366637706757,-0.03719067573547363
161,0.02203923463821411,0.020956357941031456
224,0.19572651386260986,0.1252402514219284
263,-0.1622549444437027,-0.10953771322965622
267,-0.0650588721036911,-0.08095676451921463
295,-0.1829541176557541,-0.1883082091808319
351,0.055937234312295914,0.07762068510055542
356,-0.07478070259094238,-0.0870455950498581
391,0.0009345224243588746,-0.009386137127876282
432,-0.06846863031387329,-0.10429498553276062
434,0.10681770741939545,0.10877997428178787
438,-0.24666061997413635,-0.2304690033197403
513,-0.16963805258274078,-0.09812019765377045
521,0.1742410659790039,0.16530849039554596
523,0.0975068137049675,0.0975068137049675
571,0.044336769729852676,0.07446770370006561
644,-0.04990867152810097,-0.07312696427106857
703,-0.17314977943897247,-0.13263022899627686
704,0.2536146938800812,0.251412570476532
788,0.17618559300899506,0.20287853479385376
793,-0.08310894668102264,-0.06882672756910324
813,-0.11699511110782623,-0.11178256571292877
851,-0.17657162249088287,-0.14703042805194855
1036,0.017237063497304916,0.06497617065906525
1100,-0.09560617804527283,-0.0959748774766922
1101,0.054282695055007935,0.025010699406266212
1120,0.05608920007944107,0.006062130443751812
