example_idx,atomic_faithfulness,interaction_faithfulness
0,0.30014732480049133,0.19878098368644714
1,0.49596187472343445,0.5046615600585938
2,0.29659733176231384,0.3563011586666107
3,0.41596072912216187,0.37401264905929565
4,-0.006756429560482502,0.020466184243559837
5,-0.16202440857887268,-0.18373627960681915
6,0.49701011180877686,0.4695022702217102
7,0.11350195854902267,0.12860441207885742
8,-0.06181775778532028,-0.13423563539981842
9,-0.2691660225391388,-0.1716444492340088
10,0.38065192103385925,0.3630024492740631
11,0.4451942443847656,0.39821338653564453
12,0.2433687001466751,0.09364471584558487
13,0.1715049147605896,0.22051700949668884
14,0.036773860454559326,0.15803195536136627
15,-0.17043885588645935,-0.02542545460164547
16,0.5112541913986206,0.49105820059776306
17,0.1260184645652771,0.10752514749765396
18,0.2977713942527771,0.3182225823402405
19,0.27151280641555786,-0.06248621642589569
20,0.4790700376033783,0.4831734895706177
21,0.3814680278301239,0.3874188959598541
22,0.1930788904428482,0.09138234704732895
23,0.4824069142341614,0.42458656430244446
24,-0.057343095541000366,0.2407756745815277
25,0.4096096158027649,0.4159923195838928
26,0.20118607580661774,0.02841011993587017
27,0.2681475877761841,0.0778789222240448
28,0.33678004145622253,0.11231224238872528
29,-0.18349985778331757,-0.17368830740451813
