example_idx,atomic_faithfulness,interaction_faithfulness
0,0.17513811588287354,0.23171186447143555
1,0.17510709166526794,0.2908344864845276
2,0.31852322816848755,0.22889357805252075
3,0.2972523272037506,0.18847456574440002
4,0.3628024160861969,0.29833799600601196
5,0.24899879097938538,0.24802076816558838
6,0.23109661042690277,0.17473900318145752
7,0.15917429327964783,0.10662691295146942
8,0.23555274307727814,0.24340702593326569
9,0.19396470487117767,0.13949234783649445
10,0.2565850019454956,0.19235798716545105
11,0.26884591579437256,0.17734980583190918
12,0.32741233706474304,0.19520439207553864
13,0.2495139092206955,0.232866108417511
14,0.326864629983902,0.20462729036808014
15,0.17150861024856567,0.2155040204524994
16,0.33812618255615234,0.2837862968444824
17,0.32150501012802124,0.25388801097869873
18,0.18855367600917816,0.22291578352451324
19,0.25126245617866516,0.17438067495822906
20,0.2137089967727661,0.2555443346500397
21,0.13190074265003204,0.3326408863067627
22,0.24889881908893585,0.11557924747467041
23,0.38467586040496826,0.24195075035095215
24,0.26864093542099,0.14093980193138123
25,0.33704113960266113,0.32563701272010803
26,0.23123429715633392,0.16691409051418304
27,0.24453133344650269,0.14803767204284668
28,0.20253857970237732,0.15723110735416412
29,0.24770841002464294,0.2608773708343506
