example_idx,atomic_faithfulness,interaction_faithfulness
0,0.1325734257698059,0.02611924335360527
5,0.23383046686649323,0.19445668160915375
9,0.00944298505783081,-0.01977752149105072
161,-0.14541251957416534,-0.011645382270216942
224,0.4019458293914795,0.40379688143730164
263,0.23876585066318512,0.26317259669303894
267,-0.13752484321594238,-0.13704907894134521
295,-0.15753021836280823,-0.14379599690437317
351,0.001162891392596066,-0.011252226307988167
356,0.3259597718715668,0.2532322108745575
391,0.4971219599246979,0.46021023392677307
432,0.2388390600681305,0.18685096502304077
434,0.29507824778556824,0.30508747696876526
438,0.16499803960323334,0.18144303560256958
521,0.2616913914680481,0.2757984697818756
703,0.16091881692409515,0.12442208081483841
704,0.29186928272247314,0.329241544008255
788,-0.04745083674788475,-0.04733429104089737
793,-0.03817460685968399,-0.031780436635017395
851,-0.03995269909501076,-0.05711514130234718
1036,0.3897704780101776,0.3515426814556122
1100,0.18941201269626617,0.09351281821727753
1101,0.23822596669197083,0.2439742237329483
1120,-0.04283478856086731,-0.0466470792889595
