example_idx,atomic_faithfulness,interaction_faithfulness
0,0.5122804045677185,0.45047348737716675
1,0.4457227885723114,0.4865703880786896
2,0.3501017093658447,0.41921523213386536
3,-0.24139119684696198,-0.2339668720960617
4,0.2926943004131317,0.27585920691490173
5,0.011022786609828472,0.045125965029001236
6,0.36753809452056885,0.34675198793411255
7,0.36997145414352417,0.3959745764732361
8,-0.06502775102853775,-0.05026168376207352
9,-0.06753017008304596,-0.07212285697460175
10,0.42283323407173157,0.4403758645057678
11,0.41071319580078125,0.44439706206321716
12,0.37181606888771057,0.1942792683839798
13,-0.03187617287039757,-0.3164117634296417
14,-0.1351301074028015,-0.09041861444711685
15,0.47219720482826233,0.4748850464820862
16,0.49124690890312195,0.4779995083808899
17,0.1002456545829773,0.08079025894403458
18,0.45251986384391785,0.4786839783191681
19,0.0037668850272893906,-0.026083823293447495
20,0.33958345651626587,0.28788191080093384
21,-0.8908089995384216,-0.5544760227203369
22,-0.1686883270740509,-0.2045532763004303
23,-0.13045497238636017,-0.1333608478307724
24,-0.23763661086559296,-0.019369207322597504
25,0.3144201934337616,0.2822417616844177
26,0.4150265157222748,0.4809226393699646
27,-0.06778508424758911,-0.06384573131799698
28,0.4895729124546051,0.49311140179634094
29,-0.0005761652137152851,0.04001709818840027
