example_idx,atomic_faithfulness,joint_faithfulness
0,0.512280404567719,0.450473487377167
1,0.445722788572311,0.48657038807869
2,0.350101709365845,0.419215232133865
3,-0.241391196846962,-0.233966872096062
4,0.292694300413132,0.275859206914902
5,0.0110227866098285,0.0451259650290012
6,0.367538094520569,0.346751987934113
7,0.369971454143524,0.395974576473236
8,-0.0650277510285378,-0.0502616837620735
9,-0.067530170083046,-0.0721228569746017
10,0.422833234071732,0.440375864505768
11,0.410713195800781,0.444397062063217
12,0.371816068887711,0.19427926838398
13,-0.0318761728703976,-0.316411763429642
14,-0.135130107402802,-0.0904186144471169
15,0.472197204828262,0.474885046482086
16,0.491246908903122,0.47799950838089
17,0.100245654582977,0.0807902589440346
18,0.452519863843918,0.478683978319168
19,0.00376688502728939,-0.0260838232934475
20,0.339583456516266,0.287881910800934
21,-0.890808999538422,-0.554476022720337
22,-0.168688327074051,-0.20455327630043
23,-0.13045497238636,-0.133360847830772
24,-0.237636610865593,-0.0193692073225975
25,0.314420193433762,0.282241761684418
26,0.415026515722275,0.480922639369965
27,-0.0677850842475891,-0.063845731317997
28,0.489572912454605,0.493111401796341
29,-0.000576165213715285,0.0400170981884003
