example_idx,atomic_faithfulness,joint_faithfulness
0,0.132573425769806,0.0261192433536053
5,0.233830466866493,0.194456681609154
9,0.00944298505783081,-0.0197775214910507
161,-0.145412519574165,-0.0116453822702169
224,0.40194582939148,0.403796881437302
263,0.238765850663185,0.263172596693039
267,-0.137524843215942,-0.137049078941345
295,-0.157530218362808,-0.143795996904373
351,0.00116289139259607,-0.0112522263079882
356,0.325959771871567,0.253232210874557
391,0.497121959924698,0.460210233926773
432,0.23883906006813,0.186850965023041
434,0.295078247785568,0.305087476968765
438,0.164998039603233,0.18144303560257
521,0.261691391468048,0.275798469781876
703,0.160918816924095,0.124422080814838
704,0.291869282722473,0.329241544008255
788,-0.0474508367478848,-0.0473342910408974
793,-0.038174606859684,-0.0317804366350174
851,-0.0399526990950108,-0.0571151413023472
1036,0.389770478010178,0.351542681455612
1100,0.189412012696266,0.0935128182172775
1101,0.238225966691971,0.243974223732948
1120,-0.0428347885608673,-0.0466470792889595
