example_idx,atomic_faithfulness,joint_faithfulness
0,-0.115344412624836,-0.119721151888371
5,0.0471941940486431,-0.0575053170323372
9,-0.0911536663770676,-0.0371906757354736
161,0.0220392346382141,0.0209563579410315
224,0.19572651386261,0.125240251421928
263,-0.162254944443703,-0.109537713229656
267,-0.0650588721036911,-0.0809567645192146
295,-0.182954117655754,-0.188308209180832
351,0.0559372343122959,0.0776206851005554
356,-0.0747807025909424,-0.0870455950498581
391,0.000934522424358875,-0.00938613712787628
432,-0.0684686303138733,-0.104294985532761
434,0.106817707419395,0.108779974281788
438,-0.246660619974136,-0.23046900331974
513,-0.169638052582741,-0.0981201976537704
521,0.174241065979004,0.165308490395546
523,0.0975068137049675,0.0975068137049675
571,0.0443367697298527,0.0744677037000656
644,-0.049908671528101,-0.0731269642710686
703,-0.173149779438972,-0.132630228996277
704,0.253614693880081,0.251412570476532
788,0.176185593008995,0.202878534793854
793,-0.0831089466810226,-0.0688267275691032
813,-0.116995111107826,-0.111782565712929
851,-0.176571622490883,-0.147030428051949
1036,0.0172370634973049,0.0649761706590652
1100,-0.0956061780452728,-0.0959748774766922
1101,0.0542826950550079,0.0250106994062662
1120,0.0560892000794411,0.00606213044375181
