example_idx,atomic_faithfulness,joint_faithfulness
0,0.300147324800491,0.198780983686447
1,0.495961874723434,0.504661560058594
2,0.296597331762314,0.356301158666611
3,0.415960729122162,0.374012649059296
4,-0.0067564295604825,0.0204661842435598
5,-0.162024408578873,-0.183736279606819
6,0.497010111808777,0.46950227022171
7,0.113501958549023,0.128604412078857
8,-0.0618177577853203,-0.134235635399818
9,-0.269166022539139,-0.171644449234009
10,0.380651921033859,0.363002449274063
11,0.445194244384766,0.398213386535645
12,0.243368700146675,0.0936447158455849
13,0.17150491476059,0.220517009496689
14,0.0367738604545593,0.158031955361366
15,-0.170438855886459,-0.0254254546016455
16,0.511254191398621,0.491058200597763
17,0.126018464565277,0.107525147497654
18,0.297771394252777,0.31822258234024
19,0.271512806415558,-0.0624862164258957
20,0.479070037603378,0.483173489570618
21,0.381468027830124,0.387418895959854
22,0.193078890442848,0.091382347047329
23,0.482406914234161,0.424586564302444
24,-0.0573430955410004,0.240775674581528
25,0.409609615802765,0.415992319583893
26,0.201186075806618,0.0284101199358702
27,0.268147587776184,0.0778789222240448
28,0.336780041456223,0.112312242388725
29,-0.183499857783318,-0.173688307404518
