example_idx,atomic_ce,interaction_ce
0,0.00338981237746335,0.004165019898686186
5,0.005562557475059246,0.005266431640268221
9,0.011309101944789225,0.012386825751236985
161,0.004782436047316837,0.0042726943069844505
224,0.005481895685935459,0.004751055324699235
263,0.003882015000272036,0.003224738390516021
267,0.00909453678711235,0.009213412727987242
295,0.0025301109105839233,0.0025332636693615896
351,0.00499069372308436,0.004888915870038279
356,0.005347195869338327,0.005583588540988046
391,0.011620349076110812,0.011752368688821556
432,0.04549993054479272,0.04516643261345825
434,0.046672118454201425,0.049643239295300054
438,0.0027309649687429272,0.00320855852509665
513,0.041686908739696514,0.04722383939540962
521,0.00657169846817847,0.00631151538853539
523,0.0016748761285830308,0.0016748761285830308
571,0.004030556906703425,0.003439786353495017
644,0.003852983218368692,0.003691131135601602
703,0.006752006042006496,0.006664038020599396
704,0.00173821292939402,0.0016454407293900433
788,0.005842693276766384,0.006155119672269347
793,0.04410473383419831,0.0440221219160564
813,0.008916458000021475,0.009214225434846818
851,0.004012870362864515,0.004053594918702906
1036,0.0027947615448283285,0.003114799203133553
1100,0.009908428540802509,0.009967340164462072
1101,0.003797253155006192,0.0039009096256907277
1120,0.005529194284982957,0.0058736873068019856
