example_idx,atomic_ce,interaction_ce
0,0.01138342947491431,0.010118204008034103
5,0.010118153598159527,0.009233252800222984
9,5.668266894644729e-4,6.361144461029948e-4
161,0.007571943980656184,0.017336067191603508
224,0.012243832322383203,0.009721636840840603
263,0.0024542300707252954,0.0020910844476020323
267,0.01956209537522886,0.01942521821431436
295,0.0023347405932554084,0.0025897291813459147
351,0.004298784732132554,0.00434199495169905
356,0.013788992309575643,0.009682058790476164
391,0.005696506565332752,0.006235914653454655
432,0.00963299259880536,0.009118473697177392
434,0.01204184480351003,0.010027054048422364
438,0.008828464648931045,0.008927387199844563
521,0.023808277653895624,0.02230458873991026
703,0.009699678922212705,0.00789469529122094
704,0.0069199754353366115,0.013472165326812701
788,0.007366287323020484,0.007483442004559277
793,0.0017654632128040768,0.0018228127385971555
851,0.007814623668006452,0.007032282846751337
1036,0.013791649963726085,0.008272225226117716
1100,0.008076721758293865,0.0076399791462013165
1101,0.008797894926828993,0.00963344899842867
1120,0.007366077124606797,0.008555490295728366
