example_idx,concept_count,atomic_ce,interaction_ce,marker_size
0,12,0.06343724920103945,0.2204387274606523,1.862435565298214
1,12,0.06012059856827055,0.1959085265920818,1.862435565298214
2,12,0.3086232303952177,0.30804399536511246,1.862435565298214
3,12,0.46294279769062996,0.3316440270564575,1.862435565298214
4,12,0.06400276379038886,0.18724084281212922,1.862435565298214
5,12,0.3608169111733635,0.3184743326271369,1.862435565298214
6,12,0.09694211619595683,0.25400230958944536,1.862435565298214
7,12,0.1719861185799042,0.19273017710787232,1.862435565298214
8,12,0.2086106332329412,0.11522077769482256,1.862435565298214
9,12,0.21228273973489795,0.18208691797259444,1.862435565298214
10,12,0.21873451753829912,0.1474326444670807,1.862435565298214
11,12,0.4256510076423486,0.3391756318333246,1.862435565298214
12,12,0.07098587059105432,0.07182778701449238,1.862435565298214
13,12,0.055499514099210466,0.26561675049043093,1.862435565298214
14,12,0.49691352993249893,0.47214557785322697,1.862435565298214
15,12,0.10938328970223661,0.11850530349634956,1.862435565298214
16,12,0.06443411080787576,0.1760110776884215,1.862435565298214
17,12,0.06799706195791558,0.07371455093024155,1.862435565298214
18,12,0.34830552091201145,0.7427103449962333,1.862435565298214
19,12,0.23355765314772722,0.17490487645765398,1.862435565298214
20,12,0.06829489177713786,0.3006567086480267,1.862435565298214
21,12,0.07001385806749258,0.07912311466372611,1.862435565298214
22,12,0.17475392343476412,0.08638592111961957,1.862435565298214
23,12,0.45397838950157166,0.47056839011792423,1.862435565298214
24,12,0.09095068772633866,0.21275693892360079,1.862435565298214
25,12,0.06642653637876109,0.14704894503008864,1.862435565298214
26,12,0.23476123608027893,0.18116436644703524,1.862435565298214
27,12,0.2053214597205321,0.20662996069617343,1.862435565298214
28,12,0.1010775508669515,0.20657045510056218,1.862435565298214
29,12,0.08098407741636034,0.15562842504304136,1.862435565298214
