example_idx,concept_count,atomic_ce,interaction_ce,marker_size
0,11,0.01138342947491431,0.010118204008034103,1.8108186766243897
5,10,0.010118153598159527,0.009233252800222984,1.756797181058933
9,10,5.668266894644729e-4,6.361144461029948e-4,1.756797181058933
161,10,0.007571943980656184,0.017336067191603508,1.756797181058933
224,12,0.012243832322383203,0.009721636840840603,1.862435565298214
263,10,0.0024542300707252954,0.0020910844476020323,1.756797181058933
267,11,0.01956209537522886,0.01942521821431436,1.8108186766243897
295,16,0.0023347405932554084,0.0025897291813459147,2.05
351,14,0.004298784732132554,0.00434199495169905,1.9595800853708796
356,13,0.013788992309575643,0.009682058790476164,1.9119429464123963
391,7,0.005696506565332752,0.006235914653454655,1.5760129588726066
432,12,0.00963299259880536,0.009118473697177392,1.862435565298214
434,9,0.01204184480351003,0.010027054048422364,1.6999999999999997
438,11,0.008828464648931045,0.008927387199844563,1.8108186766243897
521,9,0.023808277653895624,0.02230458873991026,1.6999999999999997
703,12,0.009699678922212705,0.00789469529122094,1.862435565298214
704,13,0.0069199754353366115,0.013472165326812701,1.9119429464123963
788,10,0.007366287323020484,0.007483442004559277,1.756797181058933
793,9,0.0017654632128040768,0.0018228127385971555,1.6999999999999997
851,12,0.007814623668006452,0.007032282846751337,1.862435565298214
1036,6,0.013791649963726085,0.008272225226117716,1.5073214099741121
1100,9,0.008076721758293865,0.0076399791462013165,1.6999999999999997
1101,11,0.008797894926828993,0.00963344899842867,1.8108186766243897
1120,10,0.007366077124606797,0.008555490295728366,1.756797181058933
