example_idx,diff_correlation_strength,mean_absolute_ce_diff,faithfulness_diff
0,1,0.003106804655758422,0.10645418241620064
5,1.1,0.002208496477800121,0.03937378525733948
9,1.1,6.769416502549202e-5,0.02922050654888153
161,3,0.006462300845807167,0.1337671373039484
224,4.666666666666667,0.0037457533850889435,0.0018510520458221436
263,7.5,2.281877216571692e-4,0.02440674602985382
267,2.727272727272727,5.893008917236399e-4,4.7576427459716797e-4
295,0.6875,2.055469003854513e-4,0.013734221458435059
351,2.2857142857142856,7.137637543007421e-5,0.012415117700584233
356,2.3076923076923075,0.003183356819935726,0.07272756099700928
391,1.2857142857142856,0.0014366167530651432,0.036911725997924805
432,0.9166666666666667,0.0012537076283822702,0.05198809504508972
434,3.1111111111111107,0.0015933318934117275,0.010009229183197021
438,2.5454545454545454,0.0013844325289151913,0.016444995999336243
521,3.333333333333333,0.00753888995362794,0.014107078313827515
703,0.9166666666666667,0.0016384814873075181,0.036496736109256744
704,2.3076923076923075,0.0030840758116471843,0.03737226128578186
788,2.8,5.46881632250251e-4,1.1654570698738098e-4
793,1.2222222222222223,2.9474263905641117e-5,0.0063941702246665955
851,2.5,0.0013668507745058418,0.017162442207336426
1036,0.33333333333333326,0.0026809704798611,0.03822779655456543
1100,1,0.0013608220423115091,0.09589919447898865
1101,2.727272727272727,0.0012580647530202331,0.005748257040977478
1120,1.1,9.278147719489119e-4,0.0038122907280921936
